home_team,away_team,home_team_goals,away_team_goals,match_date
real sociedad,sevilla,3,1,2017-12-20T20:30:00+00:00
getafe,las palmas,2,0,2017-12-20T18:30:00+00:00
levante,leganes,0,0,2017-12-19T20:30:00+00:00
malaga,betis,0,2,2017-12-18T20:00:00+00:00
barcelona,la coruna,4,0,2017-12-17T19:45:00+00:00
las palmas,espanyol,2,2,2017-12-17T17:30:00+00:00
celta vigo,villarreal,0,1,2017-12-17T15:15:00+00:00
girona,getafe,1,0,2017-12-17T11:00:00+00:00
atl. madrid,alaves,1,0,2017-12-16T19:45:00+00:00
eibar,valencia,2,1,2017-12-16T17:30:00+00:00
ath. bilbao,real sociedad,0,0,2017-12-16T15:15:00+00:00
sevilla,levante,0,0,2017-12-15T20:00:00+00:00
espanyol,girona,0,1,2017-12-11T20:00:00+00:00
villarreal,barcelona,0,2,2017-12-10T19:45:00+00:00
levante,ath. bilbao,1,2,2017-12-10T17:30:00+00:00
betis,atl. madrid,0,1,2017-12-10T15:15:00+00:00
real sociedad,malaga,0,2,2017-12-10T11:00:00+00:00
valencia,celta vigo,2,1,2017-12-09T19:45:00+00:00
la coruna,leganes,1,0,2017-12-09T17:30:00+00:00
real madrid,sevilla,5,0,2017-12-09T15:15:00+00:00
getafe,eibar,0,0,2017-12-09T12:00:00+00:00
alaves,las palmas,2,0,2017-12-08T20:00:00+00:00
girona,alaves,2,3,2017-12-04T20:00:00+00:00
las palmas,betis,1,0,2017-12-03T19:45:00+00:00
eibar,espanyol,3,1,2017-12-03T17:30:00+00:00
getafe,valencia,1,0,2017-12-03T15:15:00+00:00
leganes,villarreal,3,1,2017-12-03T11:00:00+00:00
ath. bilbao,real madrid,0,0,2017-12-02T19:45:00+00:00
sevilla,la coruna,2,0,2017-12-02T17:30:00+00:00
atl. madrid,real sociedad,2,1,2017-12-02T15:15:00+00:00
barcelona,celta vigo,2,2,2017-12-02T12:00:00+00:00
malaga,levante,0,0,2017-12-01T20:00:00+00:00
espanyol,getafe,1,0,2017-11-27T20:00:00+00:00
valencia,barcelona,1,1,2017-11-26T19:45:00+00:00
villarreal,sevilla,2,3,2017-11-26T17:30:00+00:00
real sociedad,las palmas,2,2,2017-11-26T15:15:00+00:00
la coruna,ath. bilbao,2,2,2017-11-26T11:00:00+00:00
levante,atl. madrid,0,5,2017-11-25T19:45:00+00:00
betis,girona,2,2,2017-11-25T17:30:00+00:00
real madrid,malaga,3,2,2017-11-25T15:15:00+00:00
alaves,eibar,1,2,2017-11-25T12:00:00+00:00
celta vigo,leganes,1,0,2017-11-24T20:00:00+00:00
eibar,betis,5,0,2017-11-20T20:00:00+00:00
ath. bilbao,villarreal,1,1,2017-11-19T19:45:00+00:00
las palmas,levante,0,2,2017-11-19T17:30:00+00:00
espanyol,valencia,0,2,2017-11-19T15:15:00+00:00
malaga,la coruna,3,2,2017-11-19T11:00:00+00:00
atl. madrid,real madrid,0,0,2017-11-18T19:45:00+00:00
sevilla,celta vigo,2,1,2017-11-18T17:30:00+00:00
leganes,barcelona,0,3,2017-11-18T15:15:00+00:00
getafe,alaves,4,1,2017-11-18T12:00:00+00:00
girona,real sociedad,1,1,2017-11-17T20:00:00+00:00
real madrid,las palmas,3,0,2017-11-05T19:45:00+00:00
real sociedad,eibar,3,1,2017-11-05T17:30:00+00:00
villarreal,malaga,2,0,2017-11-05T17:30:00+00:00
celta vigo,ath. bilbao,3,1,2017-11-05T15:15:00+00:00
levante,girona,1,2,2017-11-05T11:00:00+00:00
barcelona,sevilla,2,1,2017-11-04T19:45:00+00:00
alaves,espanyol,1,0,2017-11-04T17:30:00+00:00
la coruna,atl. madrid,0,1,2017-11-04T15:15:00+00:00
valencia,leganes,3,0,2017-11-04T12:00:00+00:00
betis,getafe,2,2,2017-11-03T20:00:00+00:00
espanyol,betis,1,0,2017-10-30T20:00:00+00:00
las palmas,la coruna,1,3,2017-10-30T20:00:00+00:00
malaga,celta vigo,2,1,2017-10-29T19:45:00+00:00
eibar,levante,2,2,2017-10-29T17:30:00+00:00
girona,real madrid,2,1,2017-10-29T15:15:00+00:00
getafe,real sociedad,2,1,2017-10-29T11:00:00+00:00
sevilla,leganes,2,1,2017-10-28T21:30:00+00:00
ath. bilbao,barcelona,0,2,2017-10-28T19:45:00+00:00
atl. madrid,villarreal,1,1,2017-10-28T17:30:00+00:00
alaves,valencia,1,2,2017-10-28T12:00:00+00:00
la coruna,girona,1,2,2017-10-23T20:00:00+00:00
real sociedad,espanyol,1,1,2017-10-23T19:00:00+00:00
real madrid,eibar,3,0,2017-10-22T19:45:00+00:00
